# the q's: q1 = 0.952632, q2 = -0.241616, q3 = 0.000000 
#  mag[:,0] = mi[0], mag[:,1] = mi[1], mag[2] = mr[2] B-Feld = 22.646000 
#  
9.526321306897450603e-01,-2.416162534212394353e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.933312468645075555e+00
5.730209285150071885e+00,1.619864484871419208e+00,-5.542133825524063084e+00
4.229963147230973997e-01,-1.077630633654341891e-01,-4.730705326744658046e-01
-2.404994417527958062e-01,-5.986133044832114836e-02,2.220150777924135010e-01
-2.193602632888848880e-01,4.281407194771076098e-03,1.934579421375608732e-01
-2.015160871906762630e-01,1.039288692131494080e-01,2.055493354850657095e-01
-6.689047215403476354e-02,-1.661503554197069424e-02,5.828883908878017966e-02
3.984787364649172779e-04,-2.468847055623943527e-03,2.593317048769343096e-03
2.662529294571218050e-02,-2.027937515283738043e-03,-1.949508456755749339e-02
1.313253660507880845e-02,-1.013233430046627664e-02,-1.169133181617274843e-02
1.634587822926641607e-02,4.683648781584862260e-03,-1.705250905563971200e-02
