# the q's: q1 = 0.986587, q2 = 0.002082, q3 = 0.000000 
#  mag[:,0] = mi[0], mag[:,1] = mi[1], mag[2] = mr[2] B-Feld = 2.253000 
#  
9.865868440887506363e-01,2.082239921694257426e-03,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.916608318177718706e-01
5.124948389615983091e-01,2.973327137872329162e-01,-5.582748638405575781e-01
4.169974319422363462e-02,8.759463951229305820e-05,-4.641111669654233995e-02
-2.187320091399348049e-02,-1.269043899406043299e-02,2.174168962235635549e-02
-1.887883099938543127e-02,-3.865272762640109376e-03,1.783006280582080660e-02
-1.889449856976421760e-02,3.785304926623707638e-03,1.783003039826005706e-02
-5.697100487002676114e-03,-3.305376911817239829e-03,6.659781785282620215e-03
